name,region,sector,system,grid_coordinates,suns,moons,rotation_period_hrs,orbital_period_days,diameter_km,atmosphere,climate,terrain,population,primary_languages
Ahch-To,Unknown Regions,,Ahch-To system,,2,1,,,,Type 1 (breathable),,"Oceans, Rocky islands",1,Galactic Basic
Alderaan,Core Worlds,Alderaan sector,Alderaan system,M-10,1,0,18,364,12500,Type 1 (breathable),Temperate,"Forests, Mountains, Plains",2000000000,Galatic Basic
Chandrila,Core Worlds,Bormea sector,Chandrila system,L-9,1,1,20,368,13500,Type 1 (breathable),Temperate,Rolling hills,1200000000,Galatic Basic
Corellia,Core Worlds,Corellian sector,Corellia system,M-11,1,2,25,329,11000,Type 1 (breathable),Temperate,"Forests, Jungles, Oceans, Industrial urban",3000000000,Galatic Basic
D'Qar,Outer Rim Territories,Sanbra sector,Ileenium system,O-17,1,2,,415,10400,Type 1 (breathable),Temperate,"Jungles, Plains, Forested canopies",0,
Hoth,Outer Rim Territories,Anoat sector,Hoth System,K-18,1,3,,549,7200,Type 1 (breathable),Frigid,"Frozen ice plains, Glaciers, Oceans, Mountains",10,
Ilum,Unknown Regions,7G sector,Ilum system,G-7,1,0,66,301,660,Type 1 (breathable),Frigid,"Crystallized glaciers, Ice plains, Mountains",5200,
Jakku,"Western Reaches Inner Rim",,Jakku system,I-13,1,2,26.8,352,6400,Type 1 (breathable),cold,desert,24000,"Galactic Basic, Hideo, Teedospeak, Uthuthma"
Kashyyyk,Mid Rim,Mytaranor sector,Kashyyyk system,P-9,1,3,26,381,12765,Type 1 (breathable),Temperate,"Forests, Jungles, Mountains",56000000,Shyriiwoo
Takodana,"Western Reaches Mid Rim",Tashtor sector,Takodana system,J-16,1,0,,215,12100,Type 1 (breathable),Temperate,"Plains, Seas, Temperate forest",900000,
Yavin IV,Outer Rim Territories,Gordian Reach,Yavin system,P-6,,0,,4818,10200,Type 1 (breathable),"Temperate, Tropical",Jungles,,
